GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
7936.218290686824,8306.578628,1027.3000000000002,3819.081926472056,3112.56502391584,448.538161815509,10.069140746273929,40344.0,4.7,33.9,24.8,11.0,30.1,25.8,22.8,30.4,24.7,0.0,29.0,24.8,0.0,31.8,26.4
11054.415796975098,11445.34461,-4286.0,6419.910800347223,440.16113478915656,0.0,622.6600477034849,39914.0,-1.0,33.2,25.1,0.0,31.0,26.8,0.0,31.8,23.8,0.2,29.8,24.8,0.0,31.1,26.2
9192.125628,9826.498779,-12862.71,4891.496346875,371.5041002589783,0.0,397.920292159144,41250.0,0.0,34.5,24.8,0.0,32.2,26.6,0.0,32.0,24.4,0.0,31.5,25.0,0.0,32.1,26.2
8431.506998010978,8808.701092,-25897.4,4535.0145711689875,670.00202742196,4.822609687623566,683.2601413960705,42652.0,0.1,35.0,25.5,0.0,31.2,26.4,0.0,31.7,24.0,12.8,29.6,23.8,0.0,31.2,27.5
12394.79028623081,12882.51464,-27916.79,8039.490829233106,1076.023069540522,0.000188962360122,1377.5125958022395,42558.0,0.8,34.3,25.4,0.0,32.2,26.4,0.2,31.8,23.5,2.2,30.0,25.0,0.0,31.8,26.8
20497.15646609481,21239.16598,-744.1800000000001,14966.959838490886,6145.968534062979,0.0003223655913978,5369.203504166578,40089.0,-1.0,33.0,25.0,0.0,31.5,27.0,0.0,31.4,23.5,5.8,29.6,23.6,1.1,32.4,25.1
11459.314328519964,12232.46498,10516.2,10715.33910458206,9898.703179135951,546.3933514810265,1084.3953276453517,36905.0,-1.0,35.0,25.8,0.0,29.8,26.5,19.4,31.6,24.0,29.4,28.0,23.8,9.6,29.8,25.3
13105.421317873568,14229.81691,-9058.58,17042.64557878132,8191.381176054358,84.89153984692285,440.49617079462325,39627.0,6.3,31.6,24.2,0.0,31.3,26.9,57.8,29.8,23.1,13.0,28.0,25.0,18.5,30.4,25.0
9745.858845897634,10416.95242,-8999.97,8253.440098099194,3136.2590310094165,0.0004802685624012,666.5771378045838,42389.0,-1.0,35.0,24.6,0.0,31.8,26.7,0.0,32.3,23.6,0.0,30.0,25.0,0.0,31.5,27.5
9436.836228418442,10029.00958,-12223.25,6209.326461778675,1082.9195328750002,0.00019425,36.07212898103462,43450.0,0.2,34.2,25.4,4.5,31.5,24.8,38.7,31.8,24.1,0.2,29.0,24.6,2.5,31.0,25.6
12791.211814390048,13693.20319,-19382.94,15663.133302436923,5078.175444404051,2906.6274888004755,224.6464146208759,42692.0,14.0,33.0,24.9,0.0,31.7,26.5,7.2,31.2,23.9,0.8,29.0,24.0,2.8,31.8,26.1
8905.374613231928,9572.701571,895.2800000000001,8349.201740197908,8968.350156185079,0.0,93.87481442533644,42860.0,7.7,31.0,23.1,0.0,32.0,26.2,3.3,30.9,22.1,9.0,29.0,23.0,4.6,31.8,25.9
4777.189782,5059.731819,8711.48,2939.909239196229,6522.785727269829,42.08110665646518,12.305268282568152,39884.0,14.4,30.6,24.2,11.5,31.3,23.9,7.4,31.2,23.9,5.4,28.0,23.8,32.2,31.1,24.4
4509.562364627862,4833.850197,48484.58,1433.7307454861111,2153.2882129405616,0.0,0.0009222825901889,36592.0,0.7,29.6,23.8,0.0,30.8,25.9,4.6,31.2,25.8,0.0,29.4,23.8,0.0,30.4,25.7
